Date,Naspers,Standard Bank,FirstRand,Sasol,MTN Group,Anglo American
2022-09-06,47526.0234375,15450.28125,6536.00732421875,33452.15625,13008.109375,54742.921875
2022-09-07,47473.8359375,15042.515625,6328.54736328125,31266.6328125,12983.140625,53810.08203125
2022-09-08,48831.85546875,15110.310546875,6339.51806640625,31504.439453125,13027.0869140625,54482.71484375
2022-09-09,49828.9296875,15514.0908203125,6503.09326171875,32194.87890625,13362.6767578125,57760.40625
2022-09-12,50114.09375,15625.751953125,6621.78466796875,32726.447265625,13513.4931640625,59063.44140625
2022-09-13,48875.8515625,15318.6826171875,6437.263671875,31440.4921875,13362.6767578125,57305.77734375
2022-09-14,49393.5859375,14522.9697265625,6422.30224609375,31646.326171875,13254.8095703125,56803.0234375
2022-09-15,49316.59765625,14734.3994140625,6485.1396484375,31840.16796875,13018.0986328125,55495.08203125
2022-09-16,47307.25390625,14344.4482421875,6315.58056640625,31078.783203125,12885.26171875,55921.24609375
2022-09-19,47377.2421875,14412.267578125,6277.6787109375,31223.66796875,12841.3134765625,55277.09375
2022-09-20,47833.78515625,14592.78125,6283.66357421875,30924.908203125,12815.345703125,55064.01171875
2022-09-21,47493.83203125,14587.7958984375,6336.52587890625,31759.232421875,12749.42578125,55603.09765625
2022-09-22,45372.7109375,14581.810546875,6279.67333984375,31394.529296875,12708.4765625,55318.3359375
2022-09-23,44932.5625,14464.126953125,6172.95166015625,29258.26171875,12514.712890625,51225.625
2022-09-26,47663.203125,14321.509765625,6104.13037109375,29338.197265625,12093.2275390625,50326.17578125
2022-09-27,45877.0390625,14566.8515625,6212.84765625,29476.083984375,12685.50390625,50864.2734375
2022-09-28,44948.36328125,14510.00390625,6150.01123046875,29021.455078125,12379.876953125,51649.828125
2022-09-29,43948.2890625,14274.63671875,6035.30908203125,28556.83203125,11926.4306640625,53784.5546875
2022-09-30,45259.92578125,14361.4033203125,6058.24951171875,28550.837890625,11973.3740234375,53613.6953125
2022-10-03,45414.10546875,14284.607421875,6073.2099609375,29794.826171875,11985.3603515625,55425.3671875
2022-10-04,47045.890625,14507.01171875,6134.052734375,31127.74609375,12315.9560546875,57331.30078125
2022-10-05,46135.30078125,14451.1611328125,6080.193359375,30660.125,12128.1845703125,56508.4375
2022-10-06,47995.11328125,14412.267578125,6073.2099609375,30772.03515625,11889.4765625,54836.2109375
2022-10-07,47367.1796875,14428.224609375,6069.22119140625,31826.1796875,11923.4345703125,54850.9296875
2022-10-10,45153.59765625,14488.0625,6100.140625,30998.849609375,11923.4345703125,54106.62890625
2022-10-11,44663.8515625,14590.787109375,6135.0498046875,30675.11328125,12082.2412109375,53321.078125
2022-10-12,44052.1171875,14448.1689453125,5716.02734375,30843.974609375,12316.955078125,52613.109375
2022-10-13,42065.51953125,14673.5654296875,5788.87451171875,31631.337890625,12295.9794921875,53280.8125
2022-10-14,42539.46875,14720.4384765625,5806.8369140625,30709.0859375,12173.1298828125,52216.39453125
2022-10-17,43995.5234375,15212.1181640625,6076.2724609375,31620.345703125,12771.3984375,54077.1640625
2022-10-18,44763.640625,15157.2646484375,6080.2646484375,31197.689453125,12867.28125,53902.3828125
2022-10-19,42408.6796875,16349.0615234375,6250.90673828125,31473.46484375,12389.865234375,53156.1171875
2022-10-20,42748.84765625,16477.716796875,6202.009765625,28929.529296875,12339.92578125,53441.859375
2022-10-21,41431.3828125,16548.52734375,6172.072265625,29105.38671875,12151.15625,54320.6875
2022-10-24,34223.515625,16589.4140625,6210.99072265625,29855.77734375,11411.0615234375,54890.2109375
2022-10-25,35080.42578125,17114.0078125,6250.90673828125,30437.3046875,12299.974609375,54437.5390625
2022-10-26,37258.40625,17255.625,6506.37255859375,31303.603515625,12471.765625,56102.91015625
2022-10-27,37556.17578125,17154.896484375,6553.27392578125,31718.267578125,12784.3828125,55330.1171875
2022-10-28,35196.41796875,17260.611328125,6567.24462890625,31595.3671875,12834.322265625,54621.1640625
2022-10-31,37998.12890625,17118.9921875,6421.5498046875,30878.94921875,12968.1591796875,54683.02734375
2022-11-01,41122.8125,17023.25,6405.58349609375,28476.896484375,13056.0517578125,56088.17578125
2022-11-02,41099.015625,17162.875,6396.60107421875,28676.734375,13184.8955078125,55448.9296875
2022-11-03,40615.86328125,17030.23046875,6351.69580078125,28253.078125,13181.8994140625,53607.8046875
2022-11-04,43595.5625,17503.95703125,6521.34130859375,30866.95703125,13477.537109375,59747.84765625
